,country,current_role,yearly_compensation,programming_languages,ides,visualization,activities,gender,primary_tool,ages
4499,India,Data Analyst,0-999,"Python, SQL, Java","RStudio ,Visual Studio ,Visual Studio Code (VSCode) ,PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Leaflet / Folium ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
4548,Taiwan,Data Analyst,0-999,"Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ", Matplotlib ,Build and/or run a machine learning service that operationally improves my product or workflows,Woman,"Local development environments (RStudio, JupyterLab, etc.)",younger
4552,Germany,Data Analyst,"50,000-59,999","Python, SQL","Jupyter Notebook, Other", None,None of these activities are an important part of my role at work,Woman,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
4561,India,Data Analyst,0-999,"Python, C, C++, Java, MATLAB","Visual Studio ,Visual Studio Code (VSCode) , Spyder,MATLAB "," Matplotlib ,Ggplot / ggplot2 ,Altair ,Bokeh ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Experimentation and iteration to improve existing ML models, Do research that advances the state of the art of machine learning",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
4568,Taiwan,Data Analyst,"3,000-3,999","Python, SQL, C++",Jupyter Notebook," Matplotlib ,Seaborn ,Ggplot / ggplot2 ,Shiny ",Build prototypes to explore applying machine learning to new areas,Man,unknown,middle
4579,India,Data Analyst,unknown,"Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ",unknown,Man,unknown,younger
4589,India,Data Analyst,"70,000-79,999","Python, SQL",Jupyter Notebook," Matplotlib ,Seaborn ",Build and/or run a machine learning service that operationally improves my product or workflows,Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
4592,Germany,Data Analyst,"40,000-49,999","Python, R, SQL","RStudio ,Visual Studio Code (VSCode) ,PyCharm ,Jupyter Notebook"," Matplotlib ,Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ,D3 js ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Woman,"Local development environments (RStudio, JupyterLab, etc.)",younger
4608,Indonesia,Data Analyst,"7,500-9,999"," R, SQL",RStudio , Other,None of these activities are an important part of my role at work,Man,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",middle
4620,Russia,Data Analyst,"15,000-19,999","Python, R, SQL","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio ,PyCharm , Notepad++,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
4623,Brazil,Data Analyst,"20,000-24,999"," R, SQL, Other","RStudio ,PyCharm ,Jupyter Notebook","Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
4627,Brazil,Data Analyst,"3,000-3,999","Python, SQL, Java, Javascript, Other","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
4649,Bangladesh,Data Analyst,0-999,Python,Jupyter Notebook, Matplotlib ,"Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",younger
4650,India,Data Analyst,"20,000-24,999","Python, SQL, Java","Visual Studio Code (VSCode) ,PyCharm , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
4676,India,Data Analyst,"25,000-29,999", Javascript, Notepad++, Other,Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",middle
4693,India,Data Analyst,unknown,"Python, SQL, C, C++, Java, Javascript, Bash, MATLAB, Other",unknown,unknown,unknown,Man,unknown,younger
4694,United States of America,Data Analyst,"100,000-124,999","Python, SQL, Javascript, Bash","Visual Studio ,Visual Studio Code (VSCode) , Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
4700,Nigeria,Data Analyst,0-999,"Python, SQL","Visual Studio Code (VSCode) ,PyCharm , Sublime Text,Jupyter Notebook", Matplotlib ,Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
4706,Argentina,Data Analyst,"25,000-29,999"," R, SQL, Javascript","RStudio ,Visual Studio ","Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",older
4718,Indonesia,Data Analyst,0-999," R, SQL",RStudio ,"Plotly / Plotly Express ,Ggplot / ggplot2 ,Shiny ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
4729,India,Data Analyst,"7,500-9,999",Python,Jupyter Notebook," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build and/or run a machine learning service that operationally improves my product or workflows, Do research that advances the state of the art of machine learning",Woman,unknown,middle
4730,India,Data Analyst,unknown,"Python, R, SQL","RStudio ,Jupyter Notebook","Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ","Analyze and understand data to influence product or business decisions, Other",Man,unknown,middle
4732,Turkey,Data Analyst,"10,000-14,999","Python, SQL, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,RStudio , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn , Other","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Build and/or run a machine learning service that operationally improves my product or workflows",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
4734,Other,Data Analyst,0-999,Python,Visual Studio Code (VSCode) ," Matplotlib ,Seaborn ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",older
4750,Ecuador,Data Analyst,"1,000-1,999","Python, R, SQL","RStudio ,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",Analyze and understand data to influence product or business decisions,Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
4760,Ghana,Data Analyst,0-999,"Python, SQL","Visual Studio , Notepad++, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Bokeh ,Geoplotlib ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
4771,India,Data Analyst,unknown,"Python, R, SQL, Java","RStudio ,PyCharm ,Jupyter Notebook","Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 ",unknown,Man,unknown,younger
4801,Canada,Data Analyst,"60,000-69,999", SQL,"Visual Studio ,Visual Studio Code (VSCode) , Notepad++, Sublime Text", None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data",Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
4844,Pakistan,Data Analyst,"3,000-3,999", SQL, Other, None,"Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Woman,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",younger
4862,Ethiopia,Data Analyst,unknown,"Python, Java, MATLAB","Jupyter (JupyterLab, Jupyter Notebooks, etc) , Spyder, Notepad++,MATLAB "," Matplotlib ,Plotly / Plotly Express ",unknown,Man,unknown,younger
4871,Mexico,Data Analyst,"1,000-1,999","Python, SQL, Javascript","Jupyter (JupyterLab, Jupyter Notebooks, etc) ,Visual Studio Code (VSCode) , Sublime Text"," Matplotlib ,Seaborn ,Plotly / Plotly Express ",Analyze and understand data to influence product or business decisions,Man,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
4891,India,Data Analyst,"1,000-1,999"," SQL, C, Java",Visual Studio ,Seaborn ,Experimentation and iteration to improve existing ML models,Man,unknown,younger
4896,United States of America,Data Analyst,0-999," SQL, Other", None, None,None of these activities are an important part of my role at work,Prefer not to say,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",middle
4911,Mexico,Data Analyst,"1,000-1,999","Python, R","RStudio , Spyder,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Shiny ","Analyze and understand data to influence product or business decisions, Build prototypes to explore applying machine learning to new areas, Do research that advances the state of the art of machine learning",Woman,"Local development environments (RStudio, JupyterLab, etc.)",middle
4922,United States of America,Data Analyst,"70,000-79,999","Python, SQL","Visual Studio Code (VSCode) ,Jupyter Notebook"," Matplotlib ,Seaborn ","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas",Man,"Local development environments (RStudio, JupyterLab, etc.)",middle
4935,Greece,Data Analyst,"5,000-7,499","Python, R, SQL, C, MATLAB","RStudio ,Visual Studio , Spyder",Ggplot / ggplot2 ,None of these activities are an important part of my role at work,Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
4957,India,Data Analyst,"1,000-1,999","Python, SQL","Visual Studio ,PyCharm , Spyder, Sublime Text,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ","Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",Man,unknown,younger
4962,India,Data Analyst,"40,000-49,999","Python, R, SQL, Bash","RStudio ,Visual Studio ,Visual Studio Code (VSCode) , Spyder, Notepad++,Jupyter Notebook"," Matplotlib ,Seaborn ,Plotly / Plotly Express ,Ggplot / ggplot2 , Other","Analyze and understand data to influence product or business decisions, Build and/or run the data infrastructure that my business uses for storing, analyzing, and operationalizing data, Build prototypes to explore applying machine learning to new areas, Experimentation and iteration to improve existing ML models",Man,"Local development environments (RStudio, JupyterLab, etc.)",younger
